id,timestamp,agent,rule,level,status,risk_score,correlation_score,correlation_type,recommended_priority,planned_status,planned_risk_score,planned_correlation_score,planned_correlation_type,planned_recommended_priority
3442,2026-05-17T19:01:37.047Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3443,2026-05-17T19:01:37.047Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3444,2026-05-17T19:01:40.206Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3445,2026-05-17T19:01:40.206Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3446,2026-05-17T19:01:40.599Z,atomicstar,Apparmor DENIED,3,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3447,2026-05-17T19:01:40.599Z,atomicstar,Apparmor messages grouped.,3,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3448,2026-05-17T19:01:40.599Z,atomicstar,Apparmor messages grouped.,3,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3449,2026-05-17T19:01:40.599Z,atomicstar,Apparmor DENIED,3,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3450,2026-05-17T19:01:42.146Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3451,2026-05-17T19:01:42.146Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3452,2026-05-17T19:01:42.267Z,atomicstar,Apparmor DENIED,3,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3453,2026-05-17T19:01:42.267Z,atomicstar,Apparmor messages grouped.,3,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3454,2026-05-17T19:01:42.267Z,atomicstar,Apparmor messages grouped.,3,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3455,2026-05-17T19:01:42.267Z,atomicstar,Apparmor DENIED,3,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3456,2026-05-17T19:01:45.510Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3457,2026-05-17T19:01:45.510Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3458,2026-05-17T19:01:48.781Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3459,2026-05-17T19:01:48.781Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3460,2026-05-17T19:01:52.447Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3461,2026-05-17T19:01:52.447Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3462,2026-05-17T19:01:54.335Z,atomicstar,Apparmor messages grouped.,3,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3463,2026-05-17T19:01:54.335Z,atomicstar,Apparmor DENIED,3,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3464,2026-05-17T19:01:54.335Z,atomicstar,Apparmor messages grouped.,3,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3465,2026-05-17T19:01:54.335Z,atomicstar,Apparmor DENIED,3,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3466,2026-05-17T19:01:55.142Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3467,2026-05-17T19:01:55.142Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3468,2026-05-17T19:01:55.954Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3469,2026-05-17T19:01:55.954Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3470,2026-05-17T19:01:57.630Z,atomicstar,Apparmor messages grouped.,3,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3471,2026-05-17T19:01:57.630Z,atomicstar,Apparmor DENIED,3,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3472,2026-05-17T19:01:57.630Z,atomicstar,Apparmor DENIED,3,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3473,2026-05-17T19:01:57.630Z,atomicstar,Apparmor messages grouped.,3,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3474,2026-05-17T19:01:59.241Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3475,2026-05-17T19:01:59.241Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3476,2026-05-17T19:02:03.195Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3477,2026-05-17T19:02:03.195Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3478,2026-05-17T19:02:07.309Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3479,2026-05-17T19:02:07.309Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3480,2026-05-17T19:02:11.422Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3481,2026-05-17T19:02:11.422Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3482,2026-05-17T19:02:11.465Z,atomicstar,Apparmor DENIED,3,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3483,2026-05-17T19:02:11.465Z,atomicstar,Apparmor DENIED,3,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3484,2026-05-17T19:02:11.466Z,atomicstar,Apparmor messages grouped.,3,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3485,2026-05-17T19:02:11.466Z,atomicstar,Apparmor messages grouped.,3,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3486,2026-05-17T19:02:12.731Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3487,2026-05-17T19:02:12.731Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3488,2026-05-17T19:02:15.643Z,atomicstar,Apparmor DENIED,3,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3489,2026-05-17T19:02:15.643Z,atomicstar,Apparmor messages grouped.,3,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3490,2026-05-17T19:02:15.643Z,atomicstar,Apparmor DENIED,3,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3491,2026-05-17T19:02:15.643Z,atomicstar,Apparmor messages grouped.,3,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3492,2026-05-17T19:02:15.643Z,atomicstar,Apparmor DENIED,3,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3493,2026-05-17T19:02:15.643Z,atomicstar,Apparmor DENIED,3,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3494,2026-05-17T19:02:15.730Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3495,2026-05-17T19:02:15.730Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3496,2026-05-17T19:02:19.982Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3497,2026-05-17T19:02:19.982Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3498,2026-05-17T19:02:24.619Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3499,2026-05-17T19:02:24.619Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3506,2026-05-17T19:02:28.754Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3507,2026-05-17T19:02:28.754Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3508,2026-05-17T19:02:30.836Z,atomicstar,Apparmor DENIED,3,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3509,2026-05-17T19:02:30.836Z,atomicstar,Apparmor messages grouped.,3,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3510,2026-05-17T19:02:30.836Z,atomicstar,Apparmor DENIED,3,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3511,2026-05-17T19:02:30.836Z,atomicstar,Apparmor messages grouped.,3,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3512,2026-05-17T19:02:31.494Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3513,2026-05-17T19:02:31.494Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
