id,agent,level,old_risk_score,new_risk_score,old_correlation_score,new_correlation_score,old_priority,new_priority,old_status,new_status,changed_fields,matched_chain_count,cap,rule
1152,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,New dpkg (Debian Package) requested to install.
1153,darkstar,7,100,55,100,55,CRITICAL,MEDIUM,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,55,Dpkg (Debian Package) half configured.
1154,darkstar,7,100,55,100,55,CRITICAL,MEDIUM,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,55,New dpkg (Debian Package) installed.
1155,darkstar,7,100,55,100,55,CRITICAL,MEDIUM,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,55,Dpkg (Debian Package) half configured.
1156,darkstar,7,100,55,100,55,CRITICAL,MEDIUM,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,55,New dpkg (Debian Package) installed.
1157,darkstar,7,100,55,100,55,CRITICAL,MEDIUM,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,55,Dpkg (Debian Package) half configured.
1158,darkstar,7,100,55,100,55,CRITICAL,MEDIUM,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,55,New dpkg (Debian Package) installed.
1159,darkstar,7,100,55,100,55,CRITICAL,MEDIUM,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,55,Dpkg (Debian Package) half configured.
1160,darkstar,7,100,55,100,55,CRITICAL,MEDIUM,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,55,New dpkg (Debian Package) installed.
1161,darkstar,7,100,55,100,55,CRITICAL,MEDIUM,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,55,Dpkg (Debian Package) half configured.
1162,darkstar,7,100,55,100,55,CRITICAL,MEDIUM,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,55,New dpkg (Debian Package) installed.
1163,darkstar,7,100,55,100,55,CRITICAL,MEDIUM,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,55,Dpkg (Debian Package) half configured.
1164,darkstar,7,100,55,100,55,CRITICAL,MEDIUM,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,55,New dpkg (Debian Package) installed.
1165,darkstar,7,100,55,100,55,CRITICAL,MEDIUM,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,55,Dpkg (Debian Package) half configured.
1166,darkstar,7,100,55,100,55,CRITICAL,MEDIUM,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,55,New dpkg (Debian Package) installed.
1167,darkstar,7,100,55,100,55,CRITICAL,MEDIUM,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,55,Dpkg (Debian Package) half configured.
1168,darkstar,7,100,55,100,55,CRITICAL,MEDIUM,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,55,New dpkg (Debian Package) installed.
1169,darkstar,7,100,55,100,55,CRITICAL,MEDIUM,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,55,Dpkg (Debian Package) half configured.
1170,darkstar,7,100,55,100,55,CRITICAL,MEDIUM,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,55,New dpkg (Debian Package) installed.
1171,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session closed.
1172,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session opened.
1173,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,Successful sudo to ROOT executed.
1174,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session closed.
1175,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,Successful sudo to ROOT executed.
1176,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session opened.
1177,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session closed.
1178,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session opened.
1179,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,Successful sudo to ROOT executed.
1180,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session closed.
1181,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session opened.
1182,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,Successful sudo to ROOT executed.
1183,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session closed.
